STA,LAT,LON,VALUE
元長國小GF,23.65334003,120.3088691,-2.7
秀潭國小GF,23.65870903,120.3497769,-2.8
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
STESSS-1,23.65866358,120.3497086,-2.9
STESDB,23.65864553,120.3497086,-1.4
STESSS-2,23.65862747,120.3497087,-2.9
左斷44,23.56031853,120.3010796,0.7
,,,
西螺NO21,23.80019133,120.4518501,-0.9
YLL02-1B,23.75450469,120.5062909,0.0
,,,
,,,
,,,
水利雲17-1,23.67149856,120.2285513,-1.7
水利雲52-1,23.74480603,120.4226445,-2.2
,,,
,,,
水利雲194-1,23.71362528,120.5594126,1.0
YLWRA36,23.79715903,120.2730291,0.1
,,,
YLWRA38,23.74495544,120.2183691,1.0
YLWRA39,23.7444665,120.4022135,-2.1
,,,
,,,
YLWRA42,23.58623425,120.3643211,-0.3
TK001,23.66135489,120.3476758,-3.3
TK002,23.66674522,120.3476001,-3.4
TK003,23.66647633,120.3545421,-4.5
TK004,23.66273044,120.3592268,-3.4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
TK012,23.65611417,120.3554556,-3.7
TK013,23.65325056,120.3529897,-2.9
TK014,23.64995389,120.350624,-2.5
,,,
,,,
YC003,23.61900331,120.3094708,-3.2
,,,
,,,
,,,
,,,
,,,
YC009,23.61529631,120.3083731,-2.8
,,,
,,,
,,,
,,,
SL001,23.57228236,120.2158289,2.1
SL002,23.57050411,120.2213252,2.0
SL003,23.56964858,120.2253956,2.0
,,,
SL005,23.57322414,120.2437033,1.3
,,,
,,,
,,,
,,,
,,,
水利雲219,23.74967386,120.4109202,-3.1
,,,
水利雲221,23.57384317,120.2119991,1.9
,,,
YLWRA43,23.57093119,120.2997107,0.7
YLWRA44,23.64552314,120.431834,1.2
YLWRA45,23.72376858,120.2140037,0.5
,,,
建陽國小01,23.63348961,120.1516728,1.0
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
YLWRA24-1,23.67256361,120.3882568,-2.7
,,,
,,,
YLWRA47,23.74408219,120.6061303,-0.1
,,,
,,,
YLWRA50,23.56142992,120.3113687,0.8
